shop,type,num_malls,num_outlets,malls
The Body Shop,Retail,15,15,"Bedok Mall, Bugis Junction (Part of Bugis Town), Causeway Point, City Square Mall, ION Orchard, Jem, Junction 8, Lot One Shoppers' Mall, Northpoint City, Plaza Singapura, Suntec City, Tampines Mall, Tiong Bahru Plaza, VivoCity, Waterway Point"
Unity,Retail,15,15,"AMK Hub, Causeway Point, IMM Building, Junction 8, Jurong Point, Lot One Shoppers' Mall, PLQ Mall, Plaza Singapura, Swing By @ Thomson Plaza, Tampines 1, Velocity@Novena Square, VivoCity, Waterway Point, Westgate, White Sands"
iStudio,Retail,15,15,"Bedok Mall, Bugis Junction (Part of Bugis Town), Causeway Point, City Square Mall, Funan, Great World, Jem, Junction 8, Jurong Point, One Holland Village, PLQ Mall, Paragon, Plaza Singapura, Raffles City Shopping Centre, Tampines Mall"
Goldheart,Retail,14,15,"313@somerset, AMK Hub, Bedok Mall, Bugis Junction (Part of Bugis Town), Causeway Point, Junction 8, Jurong Point, Lot One Shoppers' Mall, Northpoint City, Plaza Singapura, Suntec City, Velocity@Novena Square, VivoCity, Waterway Point"
Fun Claw,Retail,14,14,"AMK Hub, Bedok Mall, Bugis Junction (Part of Bugis Town), Causeway Point, Jewel Changi Airport, Jurong Point, Lot One Shoppers' Mall, Northpoint City, PLQ Mall, Plaza Singapura, Sengkang Grand Mall, Swing By @ Thomson Plaza, VivoCity, Waterway Point"
Levi's,Retail,14,14,"Bedok Mall, Bugis Junction (Part of Bugis Town), Causeway Point, City Square Mall, ION Orchard, Jem, Jurong Point, Lot One Shoppers' Mall, Northpoint City, Plaza Singapura, Suntec City, Tampines Mall, VivoCity, Waterway Point"
Popular,Retail,14,14,"Bedok Mall, Causeway Point, Junction 8, Jurong Point, Lot One Shoppers' Mall, Northpoint City, PLQ Mall, Tampines Mall, Tiong Bahru Plaza, United Square, VivoCity, Waterway Point, Westgate, White Sands"
Beauty Language,Retail,13,13,"AMK Hub, Bedok Mall, Bugis+ (Part of Bugis Town), Causeway Point, City Square Mall, IMM Building, Jem, Jurong Point, Lot One Shoppers' Mall, Northpoint City, Swing By @ Thomson Plaza, Tampines Mall, Tiong Bahru Plaza"
DON DON DONKI,Retail,13,13,"City Square Mall, Clarke Quay Central, Jem, Jewel Changi Airport, Jurong Point, Northpoint City, Orchard Central, PLQ Mall, Square 2, Suntec City, Tampines 1, Tiong Bahru Plaza, Waterway Point"
Smiggle,Retail,13,13,"313@somerset, City Square Mall, ION Orchard, Jem, Jewel Changi Airport, Jurong Point, Lot One Shoppers' Mall, Northpoint City, Plaza Singapura, Tampines 1, United Square, VivoCity, Wisma Atria"
THEFACESHOP,Retail,13,13,"AMK Hub, Bedok Mall, Bugis Junction (Part of Bugis Town), Causeway Point, Junction 8, Jurong Point, Northpoint City, Tampines 1, Tiong Bahru Plaza, VivoCity, Waterway Point, Westgate, Wisma Atria"
Xiaomi,Retail,13,13,"Bedok Mall, Causeway Point, City Square Mall, Funan, Great World, Hougang Mall, Jewel Changi Airport, Jurong Point, Lot One Shoppers' Mall, Northpoint City, Tampines Mall, Waterway Point, Westgate"
adidas,Retail,12,13,"Bugis Junction (Part of Bugis Town), Bugis+ (Part of Bugis Town), Causeway Point, City Square Mall, IMM Building, ION Orchard, Jewel Changi Airport, Northpoint City, Suntec City, The Shoppes at Marina Bay Sands, VivoCity, Waterway Point"
Benjamin Barker,Retail,12,12,"313@somerset, Bugis Junction (Part of Bugis Town), Funan, ION Orchard, Jem, Marina Square, Ngee Ann City, Plaza Singapura, Suntec City, Tampines 1, VivoCity, Waterway Point"
Cotton On,Retail,12,12,"313@somerset, Bugis Junction (Part of Bugis Town), City Square Mall, IMM Building, Jem, Lot One Shoppers' Mall, Northpoint City, PLQ Mall, Suntec City, Tampines Mall, Velocity@Novena Square, VivoCity"
Gadget Mix,Retail,12,12,"Bedok Mall, Causeway Point, City Square Mall, Great World, Jem, One Holland Village, Orchard Central, Suntec City, Tampines 1, Tampines Mall, Velocity@Novena Square, West Coast Plaza"
My Digital Lock,Retail,12,12,"AMK Hub, Hougang Mall, IMM Building, Jurong Point, Northpoint City, Sengkang Grand Mall, Suntec City, Tampines 1, Tiong Bahru Plaza, Waterway Point, Westgate, White Sands"
OSIM,Retail,12,12,"AMK Hub, Causeway Point, Great World, Jem, Junction 8, Jurong Point, Northpoint City, Plaza Singapura, Suntec City, Tampines Mall, VivoCity, Waterway Point"
epitex,Retail,12,12,"AMK Hub, Causeway Point, City Square Mall, Junction 8, Jurong Point, Lot One Shoppers' Mall, Northpoint City, Plaza Singapura, Sengkang Grand Mall, Tampines Mall, Waterway Point, Westgate"
iORA,Retail,12,12,"313@somerset, Bedok Mall, Bugis Junction (Part of Bugis Town), City Square Mall, Jem, Junction 8, Marina Square, Sengkang Grand Mall, Square 2, Suntec City, Westgate, Wisma Atria"
Crocs,Retail,11,11,"Causeway Point, ION Orchard, Jem, Jewel Changi Airport, Junction 8, PLQ Mall, Plaza Singapura, Suntec City, Tampines Mall, VivoCity, Waterway Point"
Golden Village,Retail,11,11,"Bugis+ (Part of Bugis Town), Century Square, City Square Mall, Funan, Great World, Junction 8, Jurong Point, Plaza Singapura, Suntec City, Tampines Mall, VivoCity"
HELEN,Retail,11,11,"313@somerset, Bugis Junction (Part of Bugis Town), Causeway Point, Jem, Junction 8, Jurong Point, Lot One Shoppers' Mall, Northpoint City, Velocity@Novena Square, Waterway Point, Wisma Atria"
Kiehl's,Retail,11,11,"Bugis Junction (Part of Bugis Town), ION Orchard, Ngee Ann City, Northpoint City, Plaza Singapura, Raffles City Shopping Centre, Suntec City, Tampines Mall, VivoCity, Waterway Point, Westgate"
MUJI,Retail,11,11,"313@somerset, Bugis Junction (Part of Bugis Town), Great World, ION Orchard, Jem, Jewel Changi Airport, Paragon, Plaza Singapura, Raffles City Shopping Centre, Tampines 1, VivoCity"
OPPO,Retail,11,11,"AMK Hub, Bedok Mall, Bugis Junction (Part of Bugis Town), Causeway Point, City Square Mall, Jem, Jurong Point, Northpoint City, PLQ Mall, Suntec City, Tampines Mall"
Syoujin,Retail,11,11,"Funan, Junction 8, Jurong Point, Northpoint City, Plaza Singapura, Raffles City Shopping Centre, Sengkang Grand Mall, Suntec City, Tampines 1, Westgate, White Sands"
The Green Party,Retail,11,11,"313@somerset, Causeway Point, Century Square, City Square Mall, Jem, Northpoint City, PLQ Mall, Suntec City, Swing By @ Thomson Plaza, United Square, Waterway Point"
Young Hearts,Retail,11,11,"AMK Hub, Bedok Mall, Bugis Junction (Part of Bugis Town), Century Square, Hougang Mall, Jem, Jurong Point, Lot One Shoppers' Mall, Northpoint City, Suntec City, Waterway Point"
Best Denki,Retail,10,10,"Bedok Mall, Funan, Great World, IMM Building, Junction 8, Jurong Point, Ngee Ann City, Plaza Singapura, VivoCity, Waterway Point"
Capitol Optical,Retail,10,10,"City Square Mall, Great World, Jem, Junction 8, Northpoint City, One Holland Village, Raffles City Shopping Centre, Suntec City, Tampines Mall, White Sands"
Decathlon,Retail,10,10,"City Square Mall, Hougang Mall, Jurong Point, Lot One Shoppers' Mall, Suntec City, The Centrepoint, Tiong Bahru Plaza, Velocity@Novena Square, Waterway Point, Westgate"
G2000,Retail,10,10,"AMK Hub, Causeway Point, Jem, Northpoint City, PLQ Mall, Plaza Singapura, Raffles City Shopping Centre, Tampines 1, VivoCity, Waterway Point"
HOOGA,Retail,10,10,"313@somerset, Funan, Great World, Jewel Changi Airport, PLQ Mall, Plaza Singapura, Suntec City, Tampines 1, Waterway Point, Westgate"
HYSSES,Retail,10,10,"Bugis Junction (Part of Bugis Town), Great World, Junction 8, Jurong Point, Marina Square, PLQ Mall, Raffles City Shopping Centre, Tampines 1, VivoCity, Westgate"
Japan IPL Express,Retail,10,10,"AMK Hub, Century Square, Funan, Jem, Jurong Point, Northpoint City, PLQ Mall, Sengkang Grand Mall, Velocity@Novena Square, Waterway Point"
Kiddy Palace,Retail,10,10,"Bedok Mall, Causeway Point, Century Square, Jurong Point, Lot One Shoppers' Mall, Marina Square, Northpoint City, Waterway Point, Westgate, White Sands"
Lovisa,Retail,10,10,"Bugis Junction (Part of Bugis Town), Causeway Point, Great World, ION Orchard, Plaza Singapura, Tampines 1, Velocity@Novena Square, Waterway Point, Westgate, Wisma Atria"
Nail Palace,Retail,10,10,"AMK Hub, Bugis+ (Part of Bugis Town), Causeway Point, Century Square, City Square Mall, Jurong Point, Lot One Shoppers' Mall, Northpoint City, White Sands, Wisma Atria"
Nailz Gallery,Retail,10,10,"AMK Hub, Bedok Mall, Causeway Point, Northpoint City, Raffles City Shopping Centre, Sengkang Grand Mall, Tiong Bahru Plaza, VivoCity, Westgate, White Sands"
PEDRO,Retail,10,10,"313@somerset, Bugis Junction (Part of Bugis Town), ION Orchard, Jem, Jewel Changi Airport, Plaza Singapura, Suntec City, The Shoppes at Marina Bay Sands, VivoCity, Wisma Atria"
