shop,type,num_malls,num_outlets,malls
TALAD THAI BANANA,F&B,14,14,"AMK Hub, Aperia Mall, City Square Mall, ION Orchard, Jewel Changi Airport, Junction 8, Lot One Shoppers' Mall, Northpoint City, Plaza Singapura, Raffles City Shopping Centre, Sengkang Grand Mall, Tampines Mall, VivoCity, Waterway Point"
Burger King,F&B,13,13,"Clarke Quay Central, HillV2, IMM Building, Jem, Jurong Point, Marina Square, Northpoint City, Plaza Singapura, Suntec City, Tiong Bahru Plaza, United Square, VivoCity, Waterway Point"
Genki Sushi,F&B,13,13,"313@somerset, Bugis+ (Part of Bugis Town), City Square Mall, Junction 8, Jurong Point, Northpoint City, Plaza Singapura, Suntec City, Tampines Mall, United Square, VivoCity, Waterway Point, Westgate"
Potato Corner,F&B,13,13,"313@somerset, AMK Hub, Funan, Hougang Mall, Jem, Jewel Changi Airport, Jurong Point, Northpoint City, One Holland Village, Suntec City, Tampines 1, VivoCity, White Sands"
Xiang Xiang Hunan Cuisine,F&B,13,13,"313@somerset, AMK Hub, Bedok Mall, Causeway Point, Hougang Mall, Jurong Point, Lot One Shoppers' Mall, Northpoint City, One Holland Village, Sengkang Grand Mall, Suntec City, VivoCity, Westgate"
DUNKIN',F&B,12,12,"AMK Hub, Bedok Mall, Causeway Point, City Square Mall, Funan, ION Orchard, Jurong Point, Northpoint City, Plaza Singapura, Square 2, Suntec City, Waterway Point"
Nine Fresh,F&B,12,12,"AMK Hub, Bedok Mall, Causeway Point, Century Square, Jewel Changi Airport, Junction 8, Jurong Point, Lot One Shoppers' Mall, Northpoint City, Plaza Singapura, Tiong Bahru Plaza, Waterway Point"
The Soup Spoon,F&B,12,12,"AMK Hub, Bugis Junction (Part of Bugis Town), ION Orchard, Jem, Jurong Point, Northpoint City, Paragon, Raffles City Shopping Centre, Sengkang Grand Mall, Tiong Bahru Plaza, Velocity@Novena Square, White Sands"
Wine Connection,F&B,12,12,"City Square Mall, Greenwich V, HillV2, Jem, Jurong Point, PLQ Mall, Raffles City Shopping Centre, Suntec City, Tampines 1, VivoCity, West Coast Plaza, Westgate"
Crave,F&B,11,11,"AMK Hub, Causeway Point, City Square Mall, Jem, Junction 8, Jurong Point, Lot One Shoppers' Mall, Marina Square, Northpoint City, Tiong Bahru Plaza, Waterway Point"
